1,"Masuk Daftar Ilmuwan Berpengaruh di Dunia, Dosen Unusa: Saya Termasuk Junior",2021-2-19,1,"Surabaya - Dosen Universitas Nahdlatul Ulama Surabaya (Unusa), Achmad Syafiuddin masuk dalam daftar ilmuwan Indonesia yang berpengaruh di dunia. Ini dirilis Elsevier, lembaga penerbit tingkat dunia yang dikelola Scopus.","Surabaya - Dosen Universitas Nahdlatul Ulama Surabaya (Unusa), Achmad Syafiuddin masuk dalam daftar ilmuwan Indonesia yang berpengaruh di dunia. Ini dirilis Elsevier, lembaga penerbit tingkat dunia yang dikelola Scopus.<br/>Di Indonesia, hanya ada 58 dosen atau peneliti yang masuk perangkingan ini. Diketahui, scopus adalah salah satu data center atau database sitasi dan literasi jurnal ilmiah bereputasi, yang sekarang menjadi salah satu rujukan Diktiristek untuk pemeringkatan institusi dan peneliti di Indonesia.<br/>Syafiuddin berada pada urutan ke-18 dari ranking all citation, atau urutan ke-26 berdasarkan self-citation excluded. Dosen Prodi Kesehatan Masyarakat, Fakultas Kesehatan Unusa ini menyebut, dirinya termasuk yang paling junior jika dibanding 58 peneliti asal Indonesia lainnya."
2,"Hujan Lebat, Jalan Penghubung Jakarta Timur-Bekasi Terendam",2021-2-20,2,"Jakarta - Hujan deras yang turun membuat Jalan Pagelarang, Jakarta Timur, tergenang. Begini genangan yang terjadi pada jalan penghubung Jakarta-Bekasi itu.","Jakarta - Hujan deras yang turun membuat Jalan Pagelarang, Jakarta Timur, tergenang. Begini genangan yang terjadi pada jalan penghubung Jakarta-Bekasi itu.<br/>Pengendara melintas Jalan Pagelarang, Setu Cipayung, Jakarta Timur, yang terendam.<br/>Selain air hujan, jalan juga terdampak luapan Kali Cideng.<br/>Jalan ini merupakan penghubung antara Cipayung, Jakarta Timur dengan Kota Bekasi.<br/>Kawasan Taman Kembang Sepatu pun turut terendam banjir.<br/>Pengendara pun harus hati-hati saat melintas."
3,"Gegera Hujan Deras, Jalan Yogya-Solo di Klaten Tergenang",2021-2-21,3,Klaten - Banjir merendam jalan Yogya-Solo di Klaten. Banjir ini disebabkan hujan deras dan saluran air yang tidak berfungsi.,"Klaten - Banjir merendam jalan Yogya-Solo di Klaten. Banjir ini disebabkan hujan deras dan saluran air yang tidak berfungsi.<br/>Jalan Yogya-Solo, ruas Kabupaten Klaten terendam banjir akibat hujan deras, Senin (1/11).<br/>Dua titik terparah genangan air ada di ruas Desa Mlese, Kecamatan Ceper dari arah Yogyakarta. Titik terparah kedua di ruas Desa Bowan, Kecamatan Delanggu.<br/>Penyebab banjir karena saluran pembuangan tidak berfungsi sebagaimana mestinya.<br/>Air juga sempat masuk ke rumah warga."
4,Aksi Mahasiswa Tuntut Menwa UNS Dibubarkan,2021-2-22,2,"Solo - Pasca tewasnya peserta diksar, Gilang Endi Saputra (21), sejumlah mahasiswa menggelar aksi di depan Rektorat UNS Solo. Mereka menuntut pembubaran Menwa UNS.","Solo - Pasca tewasnya peserta diksar, Gilang Endi Saputra (21), sejumlah mahasiswa menggelar aksi di depan Rektorat UNS Solo. Mereka menuntut pembubaran Menwa UNS.<br/>Aksi dimulai dengan berkumpul di dekat Markas Resimen Mahasiswa (Menwa) Universitas Sebelas Maret (UNS), Senin (1/11/2021) siang. Kemudian massa berjalan menuju depan Rektorat UNS dan memulai orasi sekitar pukul 14.30 WIB.<br/>Mereka kompak mengenakan pakaian serba hitam.<br/>Massa juga membawa sejumlah poster yang antara lain bertuliskan 'Mereka Bunuh Gilang', 'Menwa Berhutang Nyawa' dan 'Mereka gagal untuk gagah bubarkan'.<br/>""Bubarkan Menwa! Bubarkan Menwa!"" kata massa sambil berteriak.<br/>Salah satu orator menyebut pihak rektorat masih terkesan menutup-nutupi kasus tersebut. Massa mempertanyakan kelanjutan hasil autopsi yang sebelumnya sudah diungkap kepolisian.<br/>"
5,"Ramai Dibahas, Potret Jokowi yang Jadi Pusat Perhatian Pemimpin G20",2021-2-23,3,"Jakarta - Foto Presiden Jokowi Widodo yang disebut menjadi pusat perhatian para pemimpin G20 ramai dibahas. Rupanya, foto tersebut merupakan KTT G20 Osaka 2019 silam.","Jakarta - Foto Presiden Jokowi Widodo yang disebut menjadi pusat perhatian para pemimpin G20 ramai dibahas. Rupanya, foto tersebut merupakan KTT G20 Osaka 2019 silam.<br/>Jagat maya tengah diramaikan dengan pembahasan foto Presiden Jokowi Widodo (Jokowi) yang disebut menjadi pusat perhatian para pemimpin G20. Rupanya foto itu merupakan foto saat KTT G20 di Osaka, Jepang, pada 2019.<br/>Dari foto yang beredar, Jokowi yang mengenakan jas dan dasi merah tampak tersenyum. Di sebelah Jokowi, ada Presiden Prancis Emmanuel Macron yang juga tersenyum. Tangan kiri Macron terlihat berada di atas pundak Jokowi.<br/>Selain itu, beberapa orang di belakang Jokowi tampak melihat ke ararnya. Mereka juga tampak tersenyum. Foto yang ramai dibahas di jagat maya itu dibubuhi narasi oleh sejumlah pihak bahwa Jokowi menjadi pusat perhatian para pemimpin G20.<br/>Berdasarkan hasil penelusuran, rupanya foto tersebut sama dengan foto Jokowi saat sesi foto bersama KTT G20 di Osaka dua tahun lalu. Dalam sesi foto itu, Presiden Jokowi berdiri di barisan paling depan diapit Presiden Turki Recep Tayyip erdogan dan Presiden Prancis Emmanuel Macron. Sesi foto tersebut berlangsung di titik penyambutan tamu kepala negara G20 di gedung INTEX Osaka, Jepang."
6,"Faisal Basri Pilih Jokowi 2 Periode, tapi Kok Kritik Terus?",2021-2-24,1,"Jakarta - Ekonom Senior Faisal Basri mengakui bahwa dirinya memilih Joko Widodo (Jokowi) dalam 2 kali Pilpres. Namun sebagai pengamat, dia tetap melontarkan kritikan-kritikan pedas terhadap kebijakan yang diambil pemerintah.","Jakarta - Ekonom Senior Faisal Basri mengakui bahwa dirinya memilih Joko Widodo (Jokowi) dalam 2 kali Pilpres. Namun sebagai pengamat, dia tetap melontarkan kritikan-kritikan pedas terhadap kebijakan yang diambil pemerintah.<br/><br/>>Menurut catatan detikcom, Faisal Basri memang dua kali memberikan pernyataan dukungannya terhadap Jokowi di depan publik. Pertama saat Pilpres 2014, dia menyatakan tidak ragu mendukung Jokowi meskipun sebelumnya mereka sempat bersaing dalam Pemilihan Gubernur DKI Jakarta 2012.<br/>Dia juga kembali menyatakan dukungannya terhadap Jokowi dalam Pilpres 2019. Meskipun di periode pertama Faisal juga sering melontarkan kritikannya terhadap pemerintah.<br/>Faisal mengaku sama sekali tidak menyesal memberikan dukungannya terhadap Jokowi. Justru dia merasa dukungannya itu yang membuat terkadang kritikannya didengar oleh Jokowi. Kritikan yang dia lontarkan juga dianggap sebagai tanggung jawabnya terhadap presiden yang dia pilih.<br/>""Ya mungkin Pak Jokowi juga tahu saya tidak punya agenda dan saya memilih 2 kali Pak Jokowi dan saya tidak menyesal. Sebagai bentuk pertanggung jawaban saya sebagai pemilih, maka saya harus berusaha agar yang saya pilih itu berada di jalan yang benar,"" tuturnya saat berbincang dengan detikcom.<br/>Salah satu kritikannya yang didengar Jokowi adalah soal Tol Laut. Bahkan kritikannya itu menjadi bahan dalam sidang kabinet terbatas di Istana. Program maritim yang tujuannya untuk memangkas biaya logistik itu dinilai tidak dijalani dengan baik. Padahal program itu dampaknya sangat positif.<br/>""Ada yang buat video saya, judulnya Apa Kabar Tol Laut Pak Jokowi, itu akhirnya di-follow up dalam satu sidang kabinet terbatas. Paginya saya ditelepon sama kawan saya di Istana, 'mas Faisal tolong dong dioret-oret catatan mas Faisal untuk sidang kabinet'. Tapi saya melihat Jokowi masih mau dengar. Mungkin sekelilingnya lebih sering ketemu Pak Jokowi punya agenda sendiri-sendiri,"" tuturnya.<br/>""Saya takutnya Pak Jokowi ini diblokade, dilindungi oleh sekelilingnya sehingga hanya mendengar apa yang Pak Jokowi senang, itulah bahayanya seorang penguasa kalau dikelilingi oleh orang-orang yang selalu membuat tuannya senang,"" tambah Faisal.<br/>Meski begitu, Faisal menegaskan dirinya tidak pernah bertemu dengan Jokowi. Dia juga menyatakan tidak pernah bertemu dengan Menteri Keuangan Sri Mulyani Indrawati."
7,"Transportasi Darat Wajib PCR/Antigen, YLKI: Kebijakan Absurd!",2021-2-26,3,"Jakarta - Pemerintah melalui Kementerian Perhubungan (Kemenhub) mengeluarkan kebijakan baru yang menyebutkan, perjalanan darat seperti kendaraan bermotor perseorangan, sepeda motor, kendaraan bermotor umum, maupun angkutan penyeberangan dengan jarak 250 km wajib membawa surat hasil PCR atau antigen.","Jakarta - Pemerintah melalui Kementerian Perhubungan (Kemenhub) mengeluarkan kebijakan baru yang menyebutkan, perjalanan darat seperti kendaraan bermotor perseorangan, sepeda motor, kendaraan bermotor umum, maupun angkutan penyeberangan dengan jarak 250 km wajib membawa surat hasil PCR atau antigen. Kebijakan itu berlaku untuk perjalanan dari dan ke pulau Jawa dan Bali.<br/>Kebijakan itu tercantum dalam Surat Edaran nomor SE 90 Tahun 2021 mengenai Perubahan Atas Surat Edaran Menteri Perhubungan Nomor SE 86 Tahun 2021 tentang Petunjuk Pelaksanaan Perjalanan Orang Dalam Negeri dengan Transportasi Darat Pada Masa Pandemi Corona Virus Disease 2019 (Covid-19).<br/>Ketua Harian Yayasan Lembaga Konsumen Indonesia (YLKI) Tulus Abadi mengatakan, kebijakan tersebut semakin memperlihatkan kegiatan bisnis dibaliknya. Dia mengatakan, jika syarat tersebut diterapkan maka masyarakat akan mengeluarkan lebih banyak uang untuk tes COVID-19 ketimbang ongkos transportasi.<br/>""Wacana kebijakan wajib tes (PCR dan antigen) bagi pengguna ranmor (kendaraan bermotor) hanya bagus di atas kertas saja. Tapi pada tataran implementasi kebijakan tersebut menggelikan dan mengada-ada, nuansa bisnisnya makin kentara,"" kata Tulus dalam keterangan tertulisnya kepada detikcom, Senin (1/11/2021).<br/>Dia juga menilai, kebijakan ini absurd karena pengawasan di lapangan akan berpotensi pada kerumunan masa dan lalu lintas akan terganggu. ""Pengawasan di lapangan juga sangat susah potensi membuat 'chaos lalu lintas', khususnya untuk pengguna ranmor pribadi. Akibatnya malah menimbulkan kerumunan,"" ujarnya.<br/>Dia mengoreksi kebijakan pemerintah yang cenderung berbeda-beda setelah syarat PCR dihapus dalam perjalanan pesawat terbang. Tulus pun menyoroti terkait masih ditemukannya tarif PCR di atas batas yang telah diminta Presiden Joko Widodo (Jokowi) yaitu Rp 275 ribu.<br/>""Jadi pemerintah tidak boleh main patgulipat dong, setelah wajib PCR bagi pesawat diprotes kanan kiri dan kemudian direduksi menjadi wajib antigen, sekarang antigen mau mewajibkan untuk ranmor pribadi. Ini namanya absurd policy,"" ujarnya.<br/>"
8,"Cek Rp 35,9 M Sudah Dikembalikan ke Pengusaha Jambi, Bos APS: Alhamdulillah",2021-2-27,2,"Jakarta - Masih ingat dengan Ibu Halimah seorang petugas kebersihan yang menemukan dompet berisi cek senilai Rp 35,9 miliar dan diserahkan ke petugas Aviation Security? Atas kejujurannya itu, Halimah mendapatkan penghargaan dari pihak Angkasa Pura Solusi tempatnya bekerja.","Jakarta - Masih ingat dengan Ibu Halimah seorang petugas kebersihan yang menemukan dompet berisi cek senilai Rp 35,9 miliar dan diserahkan ke petugas Aviation Security? Atas kejujurannya itu, Halimah mendapatkan penghargaan dari pihak Angkasa Pura Solusi tempatnya bekerja.<br/>>Nah hari ini, Senin 1 November PT Angkasa Pura Solusi sudah mengembalikan dompet tersebut kepada pemiliknya.<br/>""Alhamdulilah Pada hari ini, Senin 1 November 2021, telah dilakukan pengembalian barang kepada pemiliknya, berupa 1 buah dompet beserta isinya yang tertinggal dan ditemukan dan ditemukan oleh staf cleaning service kami Sdri Halimah di Terminal 2 Bandara Soekarno-Hatta pada Jumat, 29 Oktober 2021,"" kata Direktur Utama PT Angkasa Pura Solusi Dorma Manalu dalam siaran pers.<br/>Dia mengungkapkan pengembalian barang ini dilakukan oleh perwakilan Aviation Security Bandara Internasional Soekarno-Hatta AP II kepada pemiliknya yakni Bapak Sunardi, bertempat di Bandara Sultan Thaha II yang berlokasi di kota domisili pemilik yakni Jambi. Dorma mengaku sangat bersyukur barang yang tertinggal ini dapat diamankan dan dikembalikan ke pemiliknya.<br/>""Ini dapat terjadi berkat koordinasi para pihak, dan seluruh staf bandara termasuk Ibu Halimah yang bekerja dengan mengedepankan kejujuran dan Amanah sesuai nilai utama SDM AP II yaitu Amanah, Kompeten, Harmonis, Loyal, Adaptif dan Kolaboratif (AKHLAK),"" ujar dia.<br/>Dorma juga mengucapkan terima kasih atas dukungan masyarakat sehingga seluruh karyawan kami dapat mempraktikkan nilai utama AKHLAK dalam pekerjaan dan kehidupan sehari-hari.<br/>Sebelumnya diberitakan Kejujuran seorang cleaning service Bandara Soekarno-Hatta (Soetta), Tangerang, Banten, yang menemukan cek senilai Rp 35,9 miliar, berbuah manis. Atas kejujurannya itu, Halimah (36), cleaning service tersebut, diganjar promosi jabatan oleh PT Angkasa Pura Solusi (APS).<br/>""Alhamdulillah, dari pengawas cleaning service menjadi supervisor cleaning service. Saya sangat bersyukur sekali atas rezeki yang diberikan ini. Pasti semua merasa bahagia atas apresiasi yang diberikan kepada saya ini,"" ujar Halimah."
9,Fenomena Bisnis 'Jual Gengsi' Lewat Jasa Sewa iPhone,2021-2-28,3,Jakarta - Media sosial Twitter diramaikan dengan postingan salah satu akun yang menginfokan ada jasa sewa untuk handphone merek iPhone. Harganya pun di kisaran puluhan hingga ratusan ribu per hari.,"Jakarta - Media sosial Twitter diramaikan dengan postingan salah satu akun yang menginfokan ada jasa sewa untuk handphone merek iPhone. Harganya pun di kisaran puluhan hingga ratusan ribu per hari.<br/>Dalam unggahan foto akun tersebut, jasa sewa iPhone itu menargetkan untuk siapa saja yang ingin bergaya menggunakan iPhone. Seperti kita tahu, iPhone sendiri menjadi primadona di dunia gadget.<br/>""Mau gaya bisa sewa iPhone bos, ga usah beli kalau sewa lebih terjangkau. Monggo wa langsung,"" tulis postingan foto dari akun Twitter @txt***********, dikutip Senin (1/11/2021).<br/>Harga yang ditawarkan berbagai macam, misal yang termurah itu untuk iPhone 6 harga sewanya Rp 40.000 per 24 jam atau per hari, iPhone 7 Rp 90.000/hari. Lalu ada iPhone X Rp 140.000/hari dan yang termahal iPhone 11 dan Pro Rp 300.000-Rp 400.000/hari.<br/>Postingan itu pun mengundang like hingga komentar cukup banyak dari warganet. Banyak yang setuju dan banyak pula yang tidak berminat untuk penyewaan iPhone.<br/>Salah satu akun berpendapat, jasa sewa iPhone ini bisa dilihat dari sisi positifnya bukan hanya untuk gaya saja. Misal, orang yang menyewa iPhone ini digunakan untuk kebutuhan uji coba karena ingin membeli iPhone tetapi belum terbiasa.<br/>""Mungkin yang masih ragu pakai iOS bisa uji coba seharian, buat kebutuhan event kalau upload story, atau bisa juga buat konten review gadget,"" kata akun @maha*******.<br/>Ada juga yang memuji bisnis jasa sewa iPhone ini. Mengingat peminatnya juga akan banyak.<br/>""Mungkin bisa nih disewa buat yang mau traveling biar dapat hasil foto yang bagus. Jadi nggak usah bawa kamera mahal. Atau buat ketemu gebetan sehari biar keliatan cucok,"" tulis akun @Hay*****.<br/>Melihat fenomena itu, sebenarnya penting nggak sih sewa barang seperti itu?<br/>Perencana keuangan dari Tatadana Consulting, Tejasari mengungkap untuk sewa barang masuknya barang konsumtif, jadi tidak direkomendasikan untuk kebutuhan utama dalam perencanaan keuangan."
10,Startup Luna Maya Dapat Suntikan Jumbo Rp 71 Miliar,2021-3-1,3,"Jakarta - Startup kosmetik dan perawatan kulit direct-to-consumer (D2C) yang milik Luna Maya, NAMA Beauty, mendapat suntikan modal US$ 5 juta atau sekitar Rp 71 miliar. Pendanaan ini dipimpin oleh AC Ventures dengan partisipasi dari SiCepat Ekspres dan DMMX.","Jakarta - Startup kosmetik dan perawatan kulit direct-to-consumer (D2C) yang milik Luna Maya, NAMA Beauty, mendapat suntikan modal US$ 5 juta atau sekitar Rp 71 miliar. Pendanaan ini dipimpin oleh AC Ventures dengan partisipasi dari SiCepat Ekspres dan DMMX.<br/>>""Saya mengenal Luna Maya dan Marcel Lukman cukup lama, dan telah mengikuti perkembangan perusahaan NAMA Beauty sejak mereka mulai. Saya juga memperhatikan industri kecantikan adalah salah satu industri yang paling tangguh dalam hal pertumbuhan, meskipun tetap memiliki tantangan tersendiri,"" ujar Pandu Sjahrir, Founding Partner dari AC Ventures, Senin (1/11/2021).<br/>Kemitraan bersama PT Digital Mediatama Maxima Tbk (DMMX), dan PT SiCepat Ekspres Indonesia (SiCepat Ekspres), memungkinkan NAMA Beauty dapat memiliki akses jangkauan distribusi yang kuat dan terukur.<br/>NAMA Beauty akan memanfaatkan jaringan distribusi DMMX yang luas untuk menjual produk mereka ke jaringan distribusi pasar offline, seperti Sampoerna Retail Community (SRC) yang tersebar di lebih dari 20 kota di Indonesia, menjual produk mereka di rantai minimarket, dan mengakses ribuan jaringan ritel untuk meningkatkan visibilitas merek yang lebih luas.<br/>Lebih lanjut, NAMA Beauty juga akan menjual produk dalam platform perdagangan digital untuk SRC yang disediakan oleh DMMX. Cara ini dapat membantu NAMA Beauty memperluas jangkauan distribusi dengan lebih cepat.<br/>Sementara, SiCepat Ekspres akan berperan sebagai mitra logistik NAMA Beauty untuk melayani kebutuhan pengiriman mereka. Faktor-faktor tersebut menjadikan NAMA Beauty sebagai pemain bisnis yang berpotensi kuat untuk mendisrupsi industri kecantikan Indonesia.<br/>""Melalui kemitraan dengan SiCepat dan DMMX, kami akan memanfaatkan kekuatan unik kami masing-masing untuk membantu NAMA Beauty dalam membangun merek kecantikan dengan pertumbuhan tinggi dan berharap dapat mendukung perusahaan untuk mencapai potensi penuh,"" lanjut Pandu."
11,"BUMN Sebut Kereta Cepat Balik Modal 40 Tahun, Faisal Basri: Jangan Percaya!",2021-3-2,2,Jakarta - Perdebatan Ekonom Senior Faisal Basri dengan Staf Khusus Menteri BUMN Arya Sinulingga tentang proyek Kereta Cepat Jakarta-Bandung semakin panas. Faisal menilai pernyataan Arya tak masuk akal dan meminta agar pernyataan itu tidak dipercaya.,"Jakarta - Perdebatan Ekonom Senior Faisal Basri dengan Staf Khusus Menteri BUMN Arya Sinulingga tentang proyek Kereta Cepat Jakarta-Bandung semakin panas. Faisal menilai pernyataan Arya tak masuk akal dan meminta agar pernyataan itu tidak dipercaya.<br/>Sebelumnya Arya mewakili Kementerian BUMN menanggapi pernyataan Faisal yang menyebutkan jika proyek Kereta Cepat Jakarta Bandung sampai kapanpun tidak akan balik modal. Arya menilai, pernyataan Faisal salah total. Dia mengatakan, investor tidak akan masuk jika proyek itu rugi.<br/>Menurut perhitungannya secara kasar, pinjaman untuk ekuitas proyek itu akan kembali dalam 40 tahun ke depan. Meskipun dia tidak menampik proyek tersebut mengalami pembengkakan biaya.<br/>Faisal pun kembali menanggapi pernyataan Arya. Dia menilai penghitungan Arya itu tidak masuk akal. Sebab dia juga telah berbincang dengan sumber yang ikut bertanggung jawab dalam proyek Kereta Cepat Jakarta-Bandung.<br/>""Kalau 40 tahun tidak make sense, saya sudah bicara dengan orang yang lebih kompeten dari pada Arya Sinulingga, saya tidak usah sebut namanya, orang yang ikut bertanggung jawab untuk mengembangkan ini,""<br/>Baca artikel detikfinance, ""BUMN Sebut Kereta Cepat Balik Modal 40 Tahun, Faisal Basri: Jangan Percaya!"""
12,Stafsus Erick Jawab Peter Gontha soal Sewa Pesawat Garuda Kemahalan,2021-3-4,2,"Jakarta - Maskapai pelat merah PT Garuda Indonesia (Persero) Tbk terus-menerus menyita perhatian publik. Terbaru, mantan komisaris Garuda Indonesia Peter F Gontha menyinggung masalah biaya sewa pesawat yang diduga kemahalan.","Jakarta - Maskapai pelat merah PT Garuda Indonesia (Persero) Tbk terus-menerus menyita perhatian publik. Terbaru, mantan komisaris Garuda Indonesia Peter F Gontha menyinggung masalah biaya sewa pesawat yang diduga kemahalan.<br/>Staf Khusus Menteri BUMN Arya Sinulingga pun buka suara. Pihaknya pun ingin agar mantan komisaris dan direksi diperiksa untuk untuk mengecek bagaimana hal itu bisa terjadi.<br/>Pihaknya tak menepis, biaya sewa pesawat menjadi salah satu penyebab kondisi keuangan Garuda bermasalah.<br/>""Kami sangat mendukung kalau bener Pak Peter Gontha sudah memberikan data mengenai penyewaan pesawat ke KPK. Jadi kita dorong memang supaya mantan-mantan komisaris atau mantan direksi pada saat itu bisa diperiksa saja untuk mengecek bagaimana dulu sampai penyewaan pesawat tersebut bisa terjadi. Kan kita tahu bahwa ini adalah kasusnya ugal-ugalannya di sana gitu, penyewaan pesawat,"" papar Arya kepada media."
